ID,left_forefemur,left_foretibia,left_ear,right_forefemur,right_foretibia,right_ear
SFBL,12.434,13.235,2.95,12.059,12.863,3.19
SGBK,13.369,13.864,3.365,12.588,13.803,3.766
SMVB,12.111,12.467,2.6,11.752,12.443,2.813
SMXT,10.414,10.809,2.026,10.192,10.71,1.966
SNCY,13.112,14.047,3.247,12.511,13.255,3.149
SNDZ,12.991,13.772,3.673,12.648,13.525,3.815
SQCA,13.755,14.332,2.906,13.293,13.739,3.462
SSQG,14.034,15.04,3.383,13.768,14.121,3.689
SVLP,12.755,13.21,2.875,12.308,12.77,2.797
SXDN,11.797,12.211,2.615,11.367,11.896,2.51
SYKW,14.271,14.536,3.554,13.77,14.382,3.753
TABC,12.31,12.859,2.354,12.196,12.738,2.66
TART,11.602,12.477,2.931,11.368,12.594,2.779
TKBC,13.02,13.178,2.608,12.692,12.845,2.515
TKSH,13.416,13.368,2.46,12.918,13.408,2.935
TRCQ,12.432,13.424,3.349,11.845,13.139,2.99
TSNP,13.315,13.956,2.844,12.702,13.405,2.952
TSPY,11.005,11.758,3.023,10.97,11.865,3.135
TWQN,,,,11.053,11.559,2.495
TYRB,12.237,12.459,3.157,,,
UCYK,11.394,12.023,2.785,11.006,11.562,2.664
UHRS,12.753,14.053,3.224,12.344,13.474,3.138
UKOQ,13.704,14.376,3.325,13.445,14.112,3.427
ULBD,13.36,14.308,3.786,13.391,14.293,3.814
UMXA,11.857,12.933,3.358,11.889,13.066,3.407
UNBX,11.257,12.768,2.399,11.089,12.244,2.43
UPBJ,12.264,13.137,3.317,11.686,12.439,3.025
UQVJ,12.083,12.173,2.848,12.007,12.061,2.467
UWVR,11.65,12.472,2.798,11.288,12.139,2.861
UYSP,13.861,14.197,3.611,13.637,13.683,3.326
VDBS,12.492,13.255,,12.203,12.915,3.638
VDVI,14.028,14.457,3.908,14.011,13.925,3.371
VECM,12.16,13.118,2.536,11.918,12.867,2.308
VFCQ,10.426,11.371,2.448,10.431,11.462,2.918
VFPH,13.418,13.81,2.935,13.146,13.278,3.079
VGLK,,,,12.958,13.677,3.33
VHBT,13.763,15.029,3.291,13.335,,
VJOC,12.135,12.839,3.129,12.073,12.928,3.597
VJTT,12.045,12.601,3.033,11.958,12.91,3.164
VNSP,11.455,12.747,2.585,10.838,12.69,2.742
VNVH,11.387,12.376,3.188,11.436,12.537,3.451
VUNA,12.542,13.27,3.138,12.135,13.11,3.248
WDBI,11.545,12.741,2.875,11.898,12.448,2.828
WHQS,11.487,12.867,3.535,10.721,12.376,3.487
WHVM,13.689,14.391,3.319,13.434,14.139,3.383
