ID,sex,morph,pronotum,head_length,head_width,forefemur,foretibia,midfemur,midtibia,hindfemur,hindtibia,ear,eye,group,foreleg,midleg,hindleg,head_size,ear_linear,logP_c,log_head_size,log_foreleg,log_midleg,log_hindleg,log_foretibia,log_ear_linear,log_eye,current_label,legacy_2010_label,differs_from_2010,distance_to_inferred_cutpoint,within_0_25_mm,within_0_50_mm
CVLU,m,eighth,5.88,13.811,7.781,9.4925,10.5685,9.0935,10.5185,15.413,16.1815,2.341,2.455,Eighth instar,20.061,19.612000000000002,31.5945,10.36645508358571,1.5300326793895613,-0.20252426411147417,2.3385751203652925,2.998777631739951,2.976141623788987,3.452983054811386,2.3578778787427543,0.4252890942543869,0.8981267612464839,Eighth instar,Eighth instar,FALSE,4.689,FALSE,FALSE
CWPJ,m,ninth,7.733,23.673,12.241,13.9025,13.987,12.709,13.9135,20.3035,21.4205,3.467,3.111,Ninth instar,27.889499999999998,26.622500000000002,41.724000000000004,17.022960758927923,1.8619881847100963,0.07141585960488883,2.8345630656501912,3.32825027390609,3.281756722907402,3.7310765028137247,2.6381283267971667,0.6216448333514432,1.1349442179155,Ninth instar,Ninth instar,FALSE,0.4770000000000003,FALSE,TRUE
CWRT,m,eighth,5.992,13.646,8.33,10.303999999999998,11.0525,9.447500000000002,11.044,14.744,16.674,2.316,2.3665000000000003,Eighth instar,21.356499999999997,20.491500000000002,31.418,10.661668724922942,1.5218409903797439,-0.18365577980709125,2.3666549472859915,3.061356142987955,3.0200101660135146,3.447380977077748,2.402656646718261,0.41992077985537435,0.8614120703641658,Eighth instar,Eighth instar,FALSE,4.853999999999999,FALSE,FALSE
DFDF,m,ninth,6.84,19.521,10.133,12.6735,13.0745,11.6775,12.501,17.8485,19.395,2.6905,2.6014999999999997,Ninth instar,25.748,24.1785,37.2435,14.064362516658903,1.640274367293472,-0.05129329438755059,2.6436441168235687,3.2483569541903696,3.1854638085229583,3.6174774329549626,2.570663768302002,0.4948635249736687,0.9560882017482211,Ninth instar,Ninth instar,FALSE,1.0210000000000008,FALSE,FALSE
DFME,m,eighth,5.926,14.686,8.208,11.0265,12.04,10.4015,11.589,17.1935,16.5685,2.8325,2.5325,Eighth instar,23.066499999999998,21.9905,33.762,10.97919341299715,1.6830032679706834,-0.19473157687063614,2.396001973728916,3.1383813484958845,3.090610541916178,3.5193359096791967,2.488234439880675,0.5205798569600122,0.9292069571407015,Eighth instar,Eighth instar,FALSE,3.814,FALSE,FALSE
DJFZ,m,tenth,7.643,26.156,12.783,14.999,14.9125,13.4045,14.7145,20.8005,22.9435,3.7635,3.5225,Tenth instar,29.9115,28.119,43.744,18.28529868500922,1.939974226632921,0.05970917023873734,2.906097386442457,3.398243021835719,3.3364455044324584,3.778354460541539,2.7021997874240347,0.6626746877462247,1.2591709647906981,Tenth instar,Tenth instar,FALSE,2.0060000000000002,FALSE,FALSE
DNHH,m,tenth,7.28,24.24,11.685,13.449,14.545,12.198,14.0505,18.821,21.094,3.596,2.9375,Tenth instar,27.994,26.2485,39.915000000000006,16.829866309629438,1.8963122105813695,0.01104983618658495,2.8231550645959675,3.331990201498454,3.2676088445477744,3.6867521930977625,2.677247291947165,0.639911058304687,1.0775588794702773,Tenth instar,Tenth instar,FALSE,0.08999999999999986,TRUE,TRUE
DOCI,m,ninth,6.725,19.216,10.791,12.4,13.065,11.516,12.757,18.1505,21.131,3.0775,2.753,Ninth instar,25.465,24.273,39.2815,14.399994999999132,1.7542804792848834,-0.06824910053410682,2.667227859359612,3.237304960336568,3.1893646214938123,3.6707536701298547,2.5699368989725757,0.5620587895382358,1.0126912261604704,Ninth instar,Ninth instar,FALSE,0.7160000000000011,FALSE,FALSE
DQAS,m,eighth,6.335,15.589,8.733,11.28,11.9265,10.398,11.678999999999998,16.9105,17.3535,2.522,2.4235,Eighth instar,23.2065,22.076999999999998,34.263999999999996,11.66785057326327,1.5880806024884253,-0.1279912122489073,2.45683724538107,3.144432411845096,3.0945363426125714,3.5340952403130697,2.478762815027511,0.4625261187713639,0.8852127763032938,Eighth instar,Eighth instar,FALSE,2.9109999999999996,FALSE,FALSE
DQAV,m,eighth,6.565,16.318,9.046,11.243,12.1035,10.489,11.8435,17.097,17.9535,2.5905,2.591,Eighth instar,23.3465,22.332500000000003,35.0505,12.149593738063837,1.60950302888811,-0.09232851826724997,2.4972957320311298,3.1504470799462188,3.106043016593857,3.5567898787140857,2.493494666974534,0.475925453636353,0.952043901579973,Eighth instar,Eighth instar,FALSE,2.1819999999999986,FALSE,FALSE
