ID,sex,morph,pronotum,head_length,head_width,forefemur,foretibia,midfemur,midtibia,hindfemur,hindtibia,ear,eye
PWML,m,eighth,5.861,14.381,7.991,10.073,11.0125,9.572,11.062000000000001,14.8295,16.5455,2.002,2.3535
PXBQ,m,eighth,6.598,18.131,9.48,11.676,12.313500000000001,10.7415,11.93,16.7535,19.075,2.5345,2.7984999999999998
PXBW,m,eighth,6.693,16.881,9.384,11.3895,11.822,11.017499999999998,12.068999999999999,17.364,17.8555,2.5380000000000003,2.7195
PZFT,m,ninth,6.962,23.843,11.726,13.2975,13.7725,12.202,13.464,19.563000000000002,20.985,3.5585,3.1055
PZMO,m,eighth,5.991,14.349,8.032,10.2865,11.092500000000001,9.7945,10.7765,15.5825,16.672,2.193,2.3565
PZWX,m,eighth,6.873,17.052,9.27,12.122499999999999,12.5915,11.182500000000001,12.2615,17.976,18.634,2.834,2.5774999999999997
QDVU,f,female,7.674,12.175,8.015,11.9465,12.875,11.738,13.1725,19.481,21.5945,2.9415,2.293
QDXY,m,ninth,7.613,23.862,11.444,13.6055,13.8645,12.709,13.9065,19.709,21.222,2.88,3.093
QIIV,m,eighth,5.947,14.201,8.016,10.574,11.3355,9.994499999999999,11.139,15.535499999999999,17.0225,2.072,2.234
QMKN,f,female,7.647,12.315,7.639,12.184000000000001,12.833,11.812999999999999,13.038,21.1665,22.8405,3.211,2.6095
QOGZ,f,female,7.437,11.836,7.681,12.339,12.515,11.9415,12.763,19.337,20.2045,3.054,2.481
QQJU,m,ninth,7.124,20.466,10.728,11.056999999999999,12.921,11.08,12.364,17.488999999999997,19.42,3.1135,2.6665
QRKY,f,female,7.762,11.798,7.79,11.3615,11.972,11.552,12.2965,20.338,20.503,2.7824999999999998,2.569
QSRM,m,ninth,7.046,22.9,11.347,12.9225,13.150500000000001,11.9865,12.9435,17.7925,20.333,3.1015,2.7865
QUAR,m,eighth,6.544,15.959,8.818,10.925,11.222,,,,,2.495,2.3505000000000003
QXSG,f,female,7.736,12.745,8.075,11.9595,12.784500000000001,11.650500000000001,13.101500000000001,21.175,23.508,2.8375,2.818
QYFB,f,female,7.126,11.143,7.243,10.584499999999998,11.1755,10.343,10.911000000000001,17.9185,18.701,2.5355,2.3579999999999997
QZHA,m,eighth,6.662,16.89,9.094,11.215499999999999,12.271,10.666,11.611,16.811500000000002,17.676499999999997,2.7569999999999997,2.4495
RBAX,m,ninth,6.677,19.692,10.349,12.4515,13.035,11.5015,12.846,17.5285,20.968,2.823,2.606
RBFY,f,female,8.371,13.667,8.625,12.8935,13.433499999999999,12.829,13.5195,20.718,22.320999999999998,3.2329999999999997,2.71
RCMK,m,eighth,6.334,15.19,8.629,11.132,11.599,10.478000000000002,11.5155,16.726,17.575,2.194,2.457
RDRL,m,eighth,6.74,17.552,9.405,11.849,12.2265,11.0745,12.028500000000001,17.424500000000002,17.4235,2.474,2.7655000000000003
RIJE,f,female,7.69,11.625,7.416,11.3635,11.8875,10.9915,11.893,18.539,19.6455,2.4585,2.5919999999999996
RIWP,m,ninth,6.941,19.517,10.604,12.234,13.359,12.087,13.2275,18.5745,20.4995,3.629,2.6784999999999997
RJGO,f,female,7.657,12.789,7.997,12.164,12.8855,11.789,13.249,19.6605,21.708,2.8920000000000003,2.771
