"trait","model","group","n","observed_mean_log","fitted_mean_log","simulated_mean_lower","simulated_mean_upper","observed_sd_log","simulated_sd_lower","simulated_sd_upper","mean_in_simulation_band","sd_in_simulation_band","residual_sd_model","normalised_residual_mean","normalised_residual_sd"
"ear_lin","M1_group_variance","tenth",38,0.61311941610957,0.617536174714411,0.602807804544834,0.631647108510719,0.0482234147661895,0.0392623053413187,0.0607660736392925,TRUE,TRUE,0.0454719645069215,-0.0971314666681754,0.997875645733227
"ear_lin","M2_group_slopes","female",118,0.561442935818206,0.561442935818205,0.552957977226392,0.56981131498202,0.052984887772904,0.046412346110012,0.0593957859105063,TRUE,TRUE,0.04562254155312,2.27652172066358e-14,0.995716390354362
"ear_lin","M2_group_slopes","eighth",78,0.456134282335019,0.456845202790387,0.447397524280905,0.46662470121644,0.0527991667333489,0.0459120098974587,0.0613715352613791,TRUE,TRUE,0.0426834478731406,-0.0166556473479339,0.995262752734259
"ear_lin","M2_group_slopes","ninth",79,0.543649932368661,0.541821380441103,0.531382775886481,0.552727325764323,0.0557243557378188,0.0469402677527383,0.0628629556041728,TRUE,TRUE,0.0487140103189881,0.0375364687814429,0.995739710250606
"ear_lin","M2_group_slopes","tenth",38,0.61311941610957,0.614789483573755,0.600472263741976,0.629594347081145,0.0482234147661895,0.0370501119322436,0.0596506186969357,TRUE,TRUE,0.0456625849227755,-0.0365740894215428,0.98923169989069
"ear_lin","M3_free_groups","female",118,0.561442935818206,0.561442935818207,0.553289442984906,0.569003746127878,0.052984887772904,0.0467435887979671,0.0598506135536771,TRUE,TRUE,0.0456224949802623,-2.33574929642643e-14,0.995717406812534
"ear_lin","M3_free_groups","eighth",78,0.456134282335019,0.456134282335019,0.446836184829583,0.465081967557904,0.0527991667333489,0.0452206732981517,0.0607462635370137,TRUE,TRUE,0.0427308888506757,-1.89741829797887e-14,0.99348520279416
"ear_lin","M3_free_groups","ninth",79,0.543649932368661,0.543649932368662,0.533105862171804,0.554143707590053,0.0557243557378188,0.0471523178728462,0.0639025346976588,TRUE,TRUE,0.0487954839934204,-2.0303994069733e-14,0.993569465364734
"ear_lin","M3_free_groups","tenth",38,0.61311941610957,0.613119416109571,0.598273275198343,0.627423817974589,0.0482234147661895,0.0372546044556217,0.0589182222035378,TRUE,TRUE,0.0457567633484201,-2.31978179355888e-14,0.986392959502622
"eye","M0_original","female",118,0.958559028229847,0.958559028229847,0.948797247048786,0.967875425103774,0.0623520908358125,0.0566470287444655,0.0724053090556767,TRUE,TRUE,0.0543893577727741,1.16667504282644e-15,0.899940113327272
"eye","M0_original","eighth",78,0.914183366371794,0.912457712223498,0.900501454925502,0.924240605810429,0.0688025239739943,0.0562218740810339,0.0758917622126595,TRUE,TRUE,0.0543893577727741,0.0317277904899183,1.06075563674564
"eye","M0_original","ninth",79,1.03138774922266,1.03479537007246,1.02265288155457,1.04668299386841,0.0652427313706381,0.0525203806682061,0.0711174320185919,TRUE,TRUE,0.0543893577727741,-0.0626523457775575,1.09487389220683
"eye","M0_original","tenth",38,1.15821372135432,1.15467158915518,1.13748077088549,1.1718862908133,0.0541868285585568,0.0468553821777863,0.0736525499915125,TRUE,TRUE,0.0543893577727741,0.0651254646898351,0.952235191202757
"eye","M1_group_variance","female",118,0.958559028229847,0.958559028229843,0.949635550450845,0.967443672052836,0.0623520908358125,0.0529355669305915,0.0676918522338258,TRUE,TRUE,0.0490139006538235,8.05814925144459e-14,0.997929425558435
"eye","M1_group_variance","eighth",78,0.914183366371794,0.912413367749535,0.899220958896431,0.925090435693764,0.0688025239739943,0.058745946416581,0.0795582244314269,TRUE,TRUE,0.0577693440047748,0.0306390638971518,0.998729669101741
"eye","M1_group_variance","ninth",79,1.03138774922266,1.03509794068331,1.02198449036312,1.04797981066332,0.0652427313706381,0.0565412022143226,0.0770025001681367,TRUE,TRUE,0.0595196514154821,-0.0623355710663312,1.00088622020366
"eye","M1_group_variance","tenth",38,1.15821372135432,1.15529052211354,1.13845105994592,1.17239724003628,0.0541868285585568,0.0454788662431751,0.071623049412697,TRUE,TRUE,0.0518184809282978,0.0564122912985521,1.00054152770283
"eye","M2_group_slopes","female",118,0.958559028229847,0.958559028229849,0.949441864014869,0.966807867422196,0.0623520908358125,0.0550909617846666,0.0698548573227302,TRUE,TRUE,0.0489794263093796,-3.94938319336149e-14,0.99571730087618
"eye","M2_group_slopes","eighth",78,0.914183366371794,0.912555713073567,0.899509672961165,0.925699962891994,0.0688025239739943,0.0572226825906821,0.077222501135967,TRUE,TRUE,0.0580732669384445,0.0280275828110775,0.995373516854658
"eye","M2_group_slopes","ninth",79,1.03138774922266,1.03479997074187,1.02161300362141,1.04821883883224,0.0652427313706381,0.0567642682489944,0.0770977646292607,TRUE,TRUE,0.0598363594063836,-0.0570258878223601,0.994720532212228
"eye","M2_group_slopes","tenth",38,1.15821372135432,1.15555598483342,1.13872016076667,1.17056390106222,0.0541868285585568,0.0437165840106461,0.0684752900765374,TRUE,TRUE,0.0517959455859362,0.0513116710358715,0.987954922074724
"eye","M3_free_groups","female",118,0.958559028229847,0.958559028229848,0.94983809181702,0.967558669361064,0.0623520908358125,0.0555043638626837,0.069769995256027,TRUE,TRUE,0.0489794079221634,-1.588747965578e-14,0.9957176746755
"eye","M3_free_groups","eighth",78,0.914183366371794,0.914183366371794,0.901040516638041,0.927158459676695,0.0688025239739943,0.058746825102048,0.0792663330265291,TRUE,TRUE,0.0580721411534466,-4.14198589956308e-15,0.993485131863804
"eye","M3_free_groups","ninth",79,1.03138774922266,1.03138774922266,1.01815802770667,1.04496057042502,0.0652427313706381,0.0560464435531516,0.0751817359421879,TRUE,TRUE,0.0598349366530463,-1.43513892752811e-14,0.993568914130767
"eye","M3_free_groups","tenth",38,1.15821372135432,1.15821372135432,1.14241335063544,1.17436732896794,0.0541868285585568,0.0428031602241105,0.0668660756880067,TRUE,TRUE,0.0517946698409329,7.32345470816061e-15,0.986393423657482
