 ,Label,Area,Length
376,YBYC-1st leg-right.jpg:1425-2039,0.066,12.873
377,YBYC-1st leg-right.jpg:1047-2307,0.067,13.001
378,YBYC-1st leg-right.jpg:0840-1828,2.638,0
379,YCTD-1st leg-right.jpg:2043-2916,0.053,10.271
380,YCTD-1st leg-right.jpg:0392-2244,,
381,YCTD-1st leg-right.jpg:0435-2192,,
382,YFAT-1st leg-right.jpg:1635-1773,0.067,13.031
383,YFAT-1st leg-right.jpg:1199-2097,0.07,13.666
384,YFAT-1st leg-right.jpg:1033-1602,3.654,0
385,YGFO-1st leg-right.jpg:1869-1932,0.058,11.188
386,YGFO-1st leg-right.jpg:1449-2208,0.061,11.939
387,YGFO-1st leg-right.jpg:1347-1756,2.435,0
388,YMRF-1st leg-right.jpg:2025-1916,0.057,11
389,YMRF-1st leg-right.jpg:1521-2300,0.063,12.188
390,YMRF-1st leg-right.jpg:1365-1813,2.632,0
391,YNBA-1st leg-right.jpg:1871-1653,0.065,12.576
392,YNBA-1st leg-right.jpg:1148-1886,0.066,12.888
393,YNBA-1st leg-right.jpg:1113-1422,3.096,0
394,YNFN-1st leg-right.jpg:1356-2426,0.06,11.588
395,YNFN-1st leg-right.jpg:2007-2276,0.063,12.299
396,YNFN-1st leg-right.jpg:1698-1891,2.818,0
403,YSQQ-1st leg-right.jpg:1740-1965,0.05,9.776
404,YSQQ-1st leg-right.jpg:1086-2216,0.056,10.792
405,YSQQ-1st leg-right.jpg:1095-1783,2.086,0
406,YUWR-1st leg-right.jpg:1517-1659,0.055,10.762
407,YUWR-1st leg-right.jpg:1193-1937,0.06,11.625
408,YUWR-1st leg-right.jpg:1053-1461,2.356,0
409,YYNS-1st leg-right.jpg:1823-3054,0.061,11.796
410,YYNS-1st leg-right.jpg:2250-2873,0.064,12.453
411,YYNS-1st leg-right.jpg:2328-3334,3.327,0
412,YZUH-1st leg-right.jpg:1224-2139,0.053,10.383
413,YZUH-1st leg-right.jpg:0926-2418,0.057,11.166
414,YZUH-1st leg-right.jpg:0810-1929,1.801,0
415,ZAQJ-1st leg-right.jpg:1407-1767,0.052,10.014
416,ZAQJ-1st leg-right.jpg:1245-2706,0.056,10.883
417,ZAQJ-1st leg-right.jpg:0937-2443,2.403,0
418,ZAVH-1st leg-right.jpg:1868-1622,0.053,10.3
419,ZAVH-1st leg-right.jpg:1553-1919,0.057,11.144
420,ZAVH-1st leg-right.jpg:1392-1474,2.074,0
421,ZFKD-1st leg-right.jpg:1331-1665,0.052,10.159
422,ZFKD-1st leg-right.jpg:1358-2856,0.058,11.34
423,ZFKD-1st leg-right.jpg:0951-2656,2.218,0
424,ZFXN-1st leg-right.jpg:1584-2879,0.064,12.372
425,ZFXN-1st leg-right.jpg:1988-2537,0.072,13.924
426,ZFXN-1st leg-right.jpg:2110-3120,2.964,0
427,ZIER-1st leg-right.jpg:1917-1944,0.069,13.404
428,ZIER-1st leg-right.jpg:1281-2181,0.069,13.504
429,ZIER-1st leg-right.jpg:1213-1678,3.072,0
1,ZRDE-1st leg-right.jpg:1445-1748,0.07,13.326
2,ZRDE-1st leg-right.jpg:0918-2112,0.073,13.833
3,ZRDE-1st leg-right.jpg:0774-1557,2.957,0
431,ZSUF-1st leg-right.jpg:1625-1403,0.055,10.736
432,ZSUF-1st leg-right.jpg:1028-2676,0.061,11.778
433,ZSUF-1st leg-right.jpg:0796-2295,2.527,0
434,ZVNV-1st leg-right.jpg:1365-1740,0.067,13.119
435,ZVNV-1st leg-right.jpg:1061-2075,0.069,13.329
436,ZVNV-1st leg-right.jpg:0778-1566,2.966,0
437,ZWYP-1st leg-right.jpg:1848-2013,0.061,11.916
438,ZWYP-1st leg-right.jpg:0998-2345,0.068,13.275
439,ZWYP-1st leg-right.jpg:1005-1848,3.054,0
440,YRUA-1st leg-right.jpg:1749-2112,0.062,11.749
441,YRUA-1st leg-right.jpg:1328-2372,0.064,12.281
442,YRUA-1st leg-right.jpg:1215-1906,3.004,0
443,YRUH-1st leg-right.jpg:2285-1619,0.065,12.305
444,YRUH-1st leg-right.jpg:1188-2094,0.069,13.141
445,YRUH-1st leg-right.jpg:1171-1587,3.357,0
